"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1008","興華公園","24","2","三重區","20240523190937","25.060125","121.483101","重陽路一段120巷/中華路2巷","Sanchong Dist.","Xinghua Park","Ln. 120, Sec. 1, Chongyang Rd./Ln. 2, Zhonghua Rd.","22","1"
"1009","三重國民運動中心","14","1","三重區","20240523190936","25.054391","121.488489","集美街/重新路四段184巷","Sanchong Dist.","San chong Civil Sports Center","Jimei St., Sanchong Dist./Ln. 184, Sec. 4, Chongxin Rd.","11","1"
"1010","捷運三重站(3號出口)","14","0","三重區","20240523190925","25.055883","121.484739","捷運路/捷運路37巷","Sanchong Dist.","MRT Sanchong Sta. (Exit 3)","Jieyun Rd./Ln. 37, Jieyun Rd.","13","1"
"1015","後港公園","10","0","新莊區","20240523190941","25.025358","121.428348","建安街/建安街57巷","Xinzhuang Dist.","Hougang Park","Ln. 57, Jian’an St./Jian’an St.","9","1"
"1016","福營行政中心","20","0","新莊區","20240523190943","25.0241250","121.423870","四維路17號-20號","Xinzhuang Dist.","Fuying Administration Center","No.17, Siwei Rd./No.20, Siwei Rd.","18","1"
"1017","西盛公園","10","0","新莊區","20240523190917","25.017113","121.428048","新莊區西盛街/西盛街201巷","Xinzhuang Dist.","Xisheng Park","Xisheng St./Ln. 201, Xisheng St.","10","1"
"1019","仁愛廣場","22","3","蘆洲區","20240523190745","25.090565","121.471621","民權路139號旁","Luzhou Dist.","Renai Square","No.139, Minquan Rd.","10","1"
"1022","三重商工","10","0","三重區","20240523190925","25.068681","121.480705","中正北路/中正北路276巷","Sanchong Dist.","San-Chung Commercial and Industrial Vocational High School","Ln. 276, Zhongzheng N. Rd.","7","1"
"1023","捷運新莊站(1號出口)","22","0","新莊區","20240523190943","25.036152 ","121.452069 ","中正路/中華路一段(鄰近新莊廟街)","Xinzhuang Dist.","MRT Xinzhuang Sta. (Exit 1)","Zhongzheng Rd./Sec. 1, Zhonghua Rd.","12","1"
"1032","重陽公園","14","2","蘆洲區","20240523190934","25.085688","121.483618","集賢路221巷重陽活動中心(鄰近蘆洲兒童親子分館)","Luzhou Dist.","Chong Yang Park","Ln. 221, Jixian Rd.","12","1"
"1034","中原公園","10","0","蘆洲區","20240523190926","25.083316 ","121.463894 ","長興路22號前通道","Luzhou Dist.","Zhung Yuan Park","No.22, Changxing Rd.","10","1"
"1035","丹鳳派出所","18","0","新莊區","20240523190924","25.027694 ","121.414662 ","雙鳳路77巷丹鳳派出所前","Xinzhuang Dist.","Danfeng Police Substation","Ln. 77, Shuangfeng Rd.(Danfeng Police Station)","18","1"
"1038","新莊棒球場","10","1","新莊區","20240523190932","25.041603 ","121.446053 ","和興街75號/復興路一段23號(鄰近新莊綜合運動場)","Xinzhuang Dist.","Xinzhuang Baseball Court","No.75, Hexing St./No.23, Sec. 1, Fuxing Rd.","9","1"
"1047","新莊文化藝術中心","26","0","新莊區","20240523190935","25.047150 ","121.444453 ","中平路133號前(鄰近新莊文化藝術中心)","Xinzhuang Dist.","Xinzhuang Culture and Arts Center","No.133, Zhongping Rd.","24","1"
"1048","中華中原路口","10","1","新莊區","20240523190925","25.054232","121.451752","中原路/中華路二段","Xinzhuang Dist.","Zhonghua & Zhongyuan Intersection","Zhongyuan Rd./Sec. 2, Zhonghua Rd","9","1"
"1050","福壽公園","20","1","新莊區","20240523190928","25.051829 ","121.457746 ","福壽街130號至140號(對面福壽公園)","Xinzhuang Dist.","Fushou Park","No.130 to No.140, Fushou St.","19","1"
"1065","開元市民活動中心","10","0","三重區","20240523190834","25.066074","121.503557","開元街58號/長元街65巷16弄對面","Sanchong Dist.","Kaiyuan Civic Activity Center","No.58, Kaiyuan St./Aly. 16, Ln. 65, Changyuan St. (opposite)","10","1"
"1067","二重國小","10","1","三重區","20240523190941","25.065976","121.477656","頂崁街164號至188號(對面二重國小)","Sanchong Dist.","Er Chong Elementary School","No.164 to No.188, Dingkan St. (opposite)","9","1"
"1068","二重國中","44","0","三重區","20240523190935","25.065957","121.480465","忠孝路三段75巷1號至忠孝路三段75巷11號(對面人行道)","Sanchong Dist.","Er Chung Junior High School","No.1, Ln. 75, Sec. 3, Zhongxiao Rd. to No.11, Ln. 75, Sec. 3, Zhongxiao Rd. (opposite)","43","1"
"1070","新北市立圖書館三重分館","10","0","三重區","20240523190925","25.066099","121.495529","自強路一段162號至自強路一段二弄4號(對面停車場)","Sanchong Dist.","New Taipei City Library Sanchong Branch","No.162, Sec. 1, Ziqiang Rd. to No.4, Aly. 2, Sec. 1, Ziqiang Rd. (opposite)","10","1"
"1071","三張公園","10","2","三重區","20240523190934","25.070507","121.490935","大智街127號至大智路137號(對面三張公園)","Sanchong Dist.","Sanzhang Park","No.127, Dazhi St. to No.137, Dazhi St. (opposite)","8","1"
"1072","捷運丹鳳站(1號出口)","24","0","新莊區","20240523190928","25.029032","121.422799","中正路/民安路","Xinzhuang Dist.","MRT Danfeng Sta. (Exit 1)","Zhongzheng Rd./Min’an Rd","23","1"
"1074","中港國小","20","2","新莊區","20240523190945","25.045673","121.44780","中和街70號對面","Xinzhuang Dist.","Zhonggang Elementary School","No.70, Zhonghe St. (opposite)","18","1"
"1078","黃城公園","18","1","新莊區","20240523190931","25.052382","121.448239","中信街74號旁","Xinzhuang Dist.","Huangcheng Park","No.74, Zhongxin St.","16","1"
"1080","捷運三和國中站(1號出口)","38","2","三重區","20240523190916","25.075881","121.487795","三和路四段95號至97號對面(捷運三和國中站1號出口)","Sanchong Dist.","MRT Sanhe Junior High School Sta.","No.95 to N0. 97, Sec. 4, Sanhe Rd. (opposite)","35","1"
"1082","四維公園","40","0","新莊區","20240523190935","25.021308","121.422185","四維路181號對面(四維活動中心出口前)","Xinzhuang Dist.","Siwei Park","No.181, Siwei Rd. (opposite)","37","1"
"1084","和平公園","20","0","三重區","20240523190930","25.070884","121.485712","忠孝路二段/忠孝路二段32巷","Sanchong Dist.","Helping Park","Zhongxiao Rd./Ln. 32, Sec. 2, Zhongxiao Rd.","20","1"
"1085","三重綜合體育館","16","2","三重區","20240523190937","25.061446","121.491926","新北大道一段1號前人行道","Sanchong Dist.","Sanchong Sports Center","No.1, Sec. 1, New Taipei Blvd.","14","1"
"1086","信義公園","16","0","三重區","20240523190932","25.064804","121.498749","信義西街18號對面人行道(鄰近三和夜市)","Sanchong Dist.","Xinyi Park","No.18, Xinyi W. St. (opposite)","16","1"
"1090","永康公園","20","3","蘆洲區","20240523190922","25.084920","121.458210","長安街297號(對面)","Luzhou Dist.","Yongkang Park","No.297, Chang’an St., Luzhou Dist.(opposite)","16","1"
"1091","頭前運動公園","28","1","新莊區","20240523190942","25.052180","121.462124","頭成街165號對面人行道","Xinzhuang Dist.","Touqian Sports Park","No.165, Toucheng St. (opposite)","26","1"
"1092","頭前國中","10","1","新莊區","20240523190932","25.054464","121.459318","中原路3至9號對面人行道","Xinzhuang Dist.","Touqian Junior High School","No.3 to No.9 , Zhongyuan Rd. (opposite)","8","1"
"1094","聯邦公園","10","0","三重區","20240523190929","25.064447","121.483710","三民街/中華路","Sanchong Dist.","Lian Bang Park","Sanmin St./Zhonghua Rd.","9","1"
"1095","捷運蘆洲站","46","1","蘆洲區","20240523190927","25.091637","121.464031","三民路/中正路口","Luzhou Dist.","MRT Luzhou Sta.","Sanmin Rd./Zhongzheng Rd.","43","1"
"1096","集成成功路口","16","0","三重區","20240523190941","25.051542","121.488208","集成路2號至8號前人行道","Sanchong Dist.","Ji Cheng Cheng Gong Intersection","No.2 to No.8, Jicheng Rd.","15","1"
"1112","碧華公園","12","1","三重區","20240523190923","25.083741","121.487491","溪尾街303號(對面公園)","Sanchong Dist.","Bihua Park","No.303, Xiwei St. (opposite)","11","1"
"1114","同安公園","10","2","三重區","20240523190941","25.057320","121.499067","正義南路/同安東街(正義南路側公園廣場)(鄰近新北市眷村文化園區（空軍三重一村）)","Sanchong Dist.","Tong An Park","Zhengyi S. Rd./Tong’an E. St.","8","1"
"1115","中華里(中華路二段)","10","0","新莊區","20240523190926","25.045951","121.453766","中華路2段31號對面","Xinzhuang Dist.","Zhonghua Village (Zhonghua Rd. Sec. 2 )","No.31, Sec. 2, Zhonghua Rd. (opposite)","10","1"
"1116","中華自治街口","20","0","新莊區","20240523190934","25.047855","121.453202","中華路2段/自治街口人行道(中港大排東側)","Xinzhuang Dist.","Zhonghua & Zizhi Intersection","Sec. 2, Zhonghua Rd/Zizhi St.","20","1"
"1118","捷運亞東醫院站(2號出口)","28","0","板橋區","20240523190915","24.997830","121.452315","南雅南路二段122-23號前人行道","Banqiao Dist.","MRT Far Eastern Hospital Sta.(Exit.2)","No.122-23, Sec. 2, Nanya S. Rd.","28","1"
"1119","新泰公園","24","2","新莊區","20240523190934","25.037200","121.444946","建中街116巷/建中街116巷3弄","Xinzhuang Dist.","Xintai Park","Ln. 116, Jianzhong St./Aly. 3, Ln. 116, Jianzhong St.","20","1"
"1121","進安公園","10","4","三重區","20240523190926","25.086031","121.493774","仁義街258號至290號","Sanchong Dist.","Jinan Park","No.258 to No.290, Renyi St.","6","1"
"1122","自強溪尾街口","22","1","三重區","20240523190929","25.078220","121.490157","自強路4段/溪尾街","Sanchong Dist.","Ziqiang & Xiwei Intersection","Sec. 4, Ziqiang Rd./Xiwei St.","21","1"
"1123","捷運三重國小站","16","6","三重區","20240523190943","25.070418","121.497126","仁愛街/三和路3段11巷","Sanchong Dist.","MRT Sanchong Elementary School Sta.","Ren’ai St./Ln. 11, Sec. 3, Sanhe Rd.","10","1"
"1127","新北市立圖書館總館","16","0","板橋區","20240523190932","25.001583","121.455524","貴興路119巷(鄰近新北市立圖書館總館)","Banqiao Dist.","New Taipei City Library","Ln. 119, Guixing Rd.","16","1"
"1128","永福國小","8","3","三重區","20240523190926","25.077714","121.480315","永福街/下竹圍街","Sanchong Dist.","Yong Fu Elementary School","Yongfu St./Xiazhuwei St.","5","1"
"1129","明志國小","64","0","泰山區","20240523190945","25.045729","121.426269","明志路二段324號對面人行道(鄰近明志書院)","Taishan Dist.","Mingzhi Elementary School","No.324, Sec. 2, Mingzhi Rd. (opposite)","0","1"
"1130","蘆洲三民公園","10","4","蘆洲區","20240523190923","25.094306","121.460134","三民路615號對面人行道(鄰近大台北都會公園)","Luzhou Dist.","Luchou Sanmin Park","No.615, Sanmin Rd. (opposite)","6","1"
"1131","臺北醫院","22","0","新莊區","20240523190923","25.043536","121.459772","思源路131號至137號前人行道","Xinzhuang Dist.","Taipei Hospital","No.131 to No.137, Siyuan Rd.","18","1"
"1132","重新重安街口","22","1","三重區","20240523190918","25.058443","121.489751","重新路三段/重安街","Sanchong Dist.","Chongxi & Chongan Intersection","Sec. 3, Chongxin Rd./Chong’an St.","19","1"
"1134","思賢國小","10","1","新莊區","20240523190926","25.046446","121.457716","福樂街66號對面","Xinzhuang Dist.","Si Xian Elementary School","No.66, Fule St. (opposite)","9","1"
"1136","豐年國小","10","0","新莊區","20240523190920","25.031278","121.443230","瓊泰路161號對面人行道","Xinzhuang Dist.","Feng-Nian Elementary School","No.161, Qiongtai Rd. (opposite)","10","1"
"1140","泰山國小","16","0","泰山區","20240523190917","25.062345","121.431475","泰林路2段257號旁人行道","Taishan Dist.","Taishan Elementary School","No.257, Sec. 2, Tailin Rd.","16","1"
"1143","廣福公園","12","2","板橋區","20240523190937","24.991643","121.462872","廣權路/廣和街","Banqiao Dist.","Guangfu Park","Guangquan Rd./Guanghe St.","6","1"
"1145","捷運頂埔站(2號出口)","36","0","土城區","20240523190919","24.959276","121.419008","新北市土城區中央路四段53號(前)","Tucheng Dist.","MRT Dingpu Sta.(Exit.2)","No.53, Sec. 4, Zhongyang Rd. (opposite)","36","1"
"1146","龍門龍濱路口","10","2","三重區","20240523190936","25.073475","121.500977","龍濱路192號對面","Sanchong Dist.","Longmen & Longbin Intersection","No.192, Longbin Rd. (opposite)","8","1"
"1148","金城忠義路口","10","2","土城區","20240523190927","24.969399","121.440808","金城路一段/忠義路","Tucheng Dist.","Jincheng & Zhongyi Intersection","Sec. 1, Jincheng Rd./Zhongyi Rd.","8","1"
"1149","華德公園","10","0","板橋區","20240523190937","24.991683","121.453320","四川路二段245巷60號對面","Banqiao Dist.","Huade Park","No.60, Ln. 245, Sec. 2, Sichuan Rd.","10","1"
"1152","捷運土城站(2號出口)","38","0","土城區","20240523190926","24.972631","121.443563","金城路1段/和平路","Tucheng Dist.","MRT Tucheng Sta.(Exit 2)","Sec. 1, Jincheng Rd./Heping Rd.","36","1"
"1154","員林社區公園","10","1","土城區","20240523190923","24.977883","121.443237","員林街12巷對面","Tucheng Dist.","Yuanlin Community Park","Ln. 12, Yuanlin St. (opposite)","9","1"
"1159","新樹公園","22","1","新莊區","20240523190941","25.003383","121.433154","新樹路627號對面","Xinzhuang Dist.","Xinshu Park","No.627, Xinshu Rd. (opposite)","21","1"
"1162","厚德公園","10","1","三重區","20240523190925","25.071988","121.491200","忠孝路一段37號","Sanchong Dist.","Houde Park","No.37, Sec. 1, Zhongxiao Rd.","9","1"
"1167","浮洲合宜住宅(合安一路)","10","0","板橋區","20240523190917","24.999329","121.446343","合安一路/大觀路二段153巷","Banqiao Dist.","Fujhou Appropriate House ( He-an 1st. Road )","1st Rd./Ln. 153, Sec. 2, Daguan Rd.","10","1"
"1168","建福公園","10","1","新莊區","20240523190923","25.027694","121.426685","建福路/建福路49巷","Xinzhuang Dist.","Jianfu Park","Jianfu Rd./Ln. 49, Jianfu Rd.","6","1"
"1169","水河里活動中心","38","0","蘆洲區","20240523190939","25.093949","121.473913","民族路408巷/復興路323巷","Luzhou Dist.","Shuei He Village Activity Center","Ln. 408, Minzu Rd./Ln. 323, Fuxing Rd.","38","1"
"1172","樹林火車站(後站)","28","1","樹林區","20240523190945","24.992553","121.424652","後站街6巷11號對面","Shulin Dist.","Shulin Railway Rear Station","No.11, Ln. 6, Houzhan St. (opposite)","25","1"
"1173","文林國小","16","3","樹林區","20240523190917","24.997856","121.426360","千歲街59號","Shulin Dist.","Wenlin Elementary School","No.59, Qiansui St.","13","1"
"1174","土城綜合體育場","10","0","土城區","20240523190916","24.983671","121.454211","裕民路195巷旁","Tucheng Dist.","Tucheng Sports Field","Ln. 195, Yumin Rd.","10","1"
"1176","光華公園","20","1","樹林區","20240523190935","25.005412","121.413157","保安街2段259號對面(鄰近樹林興仁花園夜市)","Shulin Dist.","Guanghua Park","No.259, Sec. 2, Bao’an St. (opposite)","18","1"
"1177","樹林大安活動中心","22","0","樹林區","20240523190927","24.986391","121.414770","備前街/復興路372巷口","Shulin Dist.","Shulin Da'an Activity Center","Beiqian St./Ln. 372, Fuxing Rd.","22","1"
"1178","三民中山一路口","14","1","蘆洲區","20240523190939","25.082229","121.476004","三民路8號前(鄰近紫禁城博物館)","Luzhou Dist.","Sanmin & Zhongshan 1st Rd. Intersection","No.8, Sanmin Rd.","12","1"
"1179","義學國小","14","0","泰山區","20240523190939","25.051762","121.431669","民生路33號對面人行道","Taishan Dist.","Yixue Elementary School","No.33, Minsheng Rd. (opposite)","13","1"
"1180","自然公園","22","0","三重區","20240523190935","25.089840","121.487987","如意街/集賢路口","Sanchong Dist.","Natural Park","Ruyi St./Jixian Rd.","22","1"
"1181","板林溪北路口","10","0","板橋區","20240523190935","24.990555","121.426350","板林路/溪北路","Banqiao Dist.","Banlin & Xibei Intersection","Banlin Rd./Xibei Rd.","8","1"
"1186","同興公園","16","0","泰山區","20240523190935","25.055188","121.432128","仁義路15號對面","Taishan Dist.","Tongxing Park","No.15, Renyi Rd. (opposite)","16","1"
"1188","溪洲公園停車場","10","1","板橋區","20240523190922","24.986723","121.426820","溪崑二街145號","Banqiao Dist.","Xizhou Park","No.145, Xikun 2nd St.","9","1"
"1189","崑崙公園","10","1","板橋區","20240523190957","24.993406","121.429636","大觀路三段212巷70號對面","Banqiao Dist.","Kunlun Park","No.70, Aly. 212, Sec. 3, Daguan Rd. (opposite)","7","1"
"1190","捷運海山站(3號出口)","40","2","土城區","20240523190930","24.986923","121.449335","海山路46號對面機車格位","Tucheng Dist.","MRT Haishan Sta.(Exit 3)","No.46, Haishan Rd. (opposite)","37","1"
"1191","興化公園","10","3","新莊區","20240523190924","25.065234","121.461115","五工二路/五工三路50巷","Xinzhuang Dist.","Xinhua Park","Wugong 2nd Rd./Ln. 50, Wugong 3rd Rd.","6","1"
"1193","西盛館","24","0","新莊區","20240523190943","25.011905","121.432713","新樹路499號前人行道(西盛館)","Xinzhuang Dist.","Xi Sheng Guan","No.499, Xinshu Rd.","24","1"
"1197","義仁市民活動中心","20","1","泰山區","20240523190936","25.050479","121.427667","明志路二段177號","Taishan Dist.","Yiren civil activity center","No.177, Sec. 2, Mingzhi Rd.","19","1"
"1198","鶯歌國中","24","1","鶯歌區","20240523190922","24.951734","121.342963","建國路420號對面人行道(鄰近新太源藝術工坊)","Yingge Dist.","Yingge Junior High School","No.420, Jianguo Rd.(opposite)","23","1"
"1199","捷運迴龍站(3號出口)","28","1","新莊區","20240523190917","25.022760","121.413053","中正路/中正路746巷","Xinzhuang Dist.","MRT Huilong Sta.(Exit 3)","Zhongzheng Rd./Ln. 746, Zhongzheng Rd.","22","1"
"1200","捷運先嗇宮站(2號出口)","26","1","三重區","20240523190934","25.046068","121.470987","重新路五段515號","Sanchong Dist.","MRT Xianse Temple Sta.(Exit.2)","No.515, Sec. 5, Chongxin Rd.","25","1"
"1201","鶯歌火車站(仁愛路)","40","7","鶯歌區","20240523190917","24.955591","121.354376","仁愛路55號對側人行道(鄰近鶯歌車站/宏德宮(孫臏廟))","Yingge Dist.","Yingge Railway Station(Ren’ai  Rd.)","No.55, Ren’ai Rd., Yingge Dist.(opposite)","30","1"
"1204","立泰里(中環路二段)","24","0","新莊區","20240523190942","25.045676","121.442133","新莊區中環路二段423號(對面橋下)(鄰近新莊文化藝術中心)","Xinzhuang Dist.","Litai Village(Zhonghuan Rd. Sec. 2)","No.423, Sec. 2, Zhonghuan Rd.(opposite)","23","1"
"1206","文化館前路口","10","4","鶯歌區","20240523190935","24.949549","121.352832","鶯歌區文化路407號(鄰近鶯歌陶瓷博物館)","Yingge Dist.","New Taipei City Yingge Ceramics  Museum","No.407, Wenhua Rd.","6","1"
"1207","浮洲合宜住宅(樂群路)","20","1","板橋區","20240523190929","24.9969909","121.4465092","板橋區合宜路/樂群路口","Banqiao Dist.","Fuzhou Apartment(Lequn Rd.)","Heyi Rd./Lequn Rd.","19","1"
"1208","尖山公園","22","14","鶯歌區","20240523190917","24.948220","121.345767","鶯歌區尖山路161號對面","Yingge Dist.","Jianshan Park","No.161, Jianshan Rd.(opposite)","8","1"
"1210","樹林區衛生所","30","0","樹林區","20240523190934","24.983768","121.415032","新北市樹林區中山路二段80-1號對面機車停車格","Shulin Dist.","Shulin District Public Health Center","No.80-1, Sec. 2, Zhongshan Rd.(opposite)","29","1"
"1211","溪墘公園","22","1","蘆洲區","20240523190918","25.079969","121.476205","信義路73巷2號對面公園人行道","Luzhou Dist.","Si Cian Park","No.2, Ln. 73, Xinyi Rd.(oppsite)","21","1"
"1212","育德國小","18","1","樹林區","20240523190923","24.970656","121.392602","育德街13號對面人行道","Shulin Dist.","Yude Elementary School","No.13, Yude St.(oppsite)","17","1"
"1213","彭福國小","34","2","樹林區","20240523190918","24.980335","121.423104","國凱街130號對面","Shulin Dist.","Pengfu Elementary School","No.130, Guokai St.(oppsite)","32","1"
"1215","億光電子(樹林高中)","28","0","樹林區","20240523190823","24.983567","121.423601","中華路 / 樹中二街口(學校側門對面人行道)","Shulin Dist.","Everlight Electronics Co.,Ltd (Shulin Senior High School)","Zhonghua Rd./Shuzhong 2nd St.(oppsite)","25","1"
"1216","捷運永寧站(2號出口)","10","0","土城區","20240523190923","24.965783","121.436227","承天路11號對面","Tucheng Dist.","MRT Yungning Sta.(EXIT 2)","No.11, Chengtian Rd.(oppsite)","10","1"
"1220","新北市立圖書館鶯歌分館 ","24","6","鶯歌區","20240523190934","24.957195","121.349704","中山路150號(圖書館內停車場)","Yingge Dist.","New Taipei City Library Yingge Branch","No.150, Zhongshan Rd.","17","1"
"1221","德音國小","30","2","五股區","20240523190930","25.071515","121.435670","明德路2號(德音國小成泰路路側人行道)(鄰近維格餅家鳳梨酥夢工場)","Wugu Dist.","De-Yin Elementary School","No.2, Mingde Rd.(oppsite)","26","1"
"1224","金城立體停車場","30","0","土城區","20240523190936","24.984102","121.458595","金城路2段266號","Tucheng Dist.","Jincheng Parking Lot","No.266, Sec. 2, Jincheng Rd.","28","1"
"1225","先嗇宮","24","2","三重區","20240523190927","25.051190","121.476007","五谷王北街77號(後方停車場旁人行道)(鄰近三重先嗇宮)","Sanchong Dist.","Xianse Temple","No.77, Wuguwang N. St.","22","1"
